bigram,bigram,bigram,trigram,trigram,trigram,fourgram,fourgram,fourgram,fivegram,fivegram,fivegram,sixgram,sixgram,sixgram
Word,Similar_Word,Similarity_Score,Word,Similar_Word,Similarity_Score,Word,Similar_Word,Similarity_Score,Word,Similar_Word,Similarity_Score,Word,Similar_Word,Similarity_Score
qtl,chromosomes,1.0,qtl,chromosomes,1.0,qtl,chromosomes,1.0,qtl,chromosomes,1.0,qtl,chromosomes,1.0
qtl,chromosome,1.0,qtl,detected,1.0,qtl,regions,1.0,qtl,significant,1.0,qtl,significant,1.0
qtl,suggestive,0.99,qtl,identified,1.0,qtl,detected,1.0,qtl,chromosome,1.0,qtl,chromosome,1.0
qtl,detected,0.99,qtl,chromosome,1.0,qtl,significant,1.0,qtl,detected,1.0,qtl,detected,1.0
qtl,identified,0.99,qtl,regions,1.0,qtl,chromosome,1.0,qtl,regions,1.0,qtl,suggestive,1.0
qtl,significant,0.99,qtl,significant,1.0,qtl,identified,1.0,qtl,identified,1.0,qtl,regions,1.0
qtl,regions,0.99,qtl,qtls,1.0,qtl,one,0.99,qtl,one,1.0,qtl,one,1.0
qtl,located,0.99,qtl,suggestive,1.0,qtl,found,0.99,qtl,suggestive,1.0,qtl,identified,1.0
qtl,found,0.99,qtl,found,1.0,qtl,suggestive,0.99,qtl,qtls,1.0,qtl,found,1.0
qtl,level,0.99,qtl,one,1.0,qtl,located,0.99,qtl,found,1.0,qtl,region,0.99
qtl,one,0.99,qtl,located,1.0,qtl,four,0.99,qtl,located,1.0,qtl,qtls,0.99
qtl,qtls,0.98,qtl,mapped,0.99,qtl,three,0.99,qtl,four,1.0,qtl,four,0.99
qtl,region,0.98,qtl,level,0.99,qtl,five,0.99,qtl,region,1.0,qtl,located,0.99
qtl,four,0.98,qtl,region,0.99,qtl,region,0.99,qtl,two,1.0,qtl,level,0.99
qtl,respectively,0.98,qtl,five,0.99,qtl,snps,0.99,qtl,mapped,1.0,qtl,mapped,0.99
qtl,cm,0.98,qtl,respectively,0.99,qtl,bta,0.99,qtl,level,1.0,qtl,two,0.99
qtl,snps,0.98,qtl,suggestive_qtl,0.99,qtl,respectively,0.99,qtl,bta,1.0,qtl,respectively,0.99
qtl,mapped,0.98,qtl,bta,0.99,qtl,two,0.99,qtl,suggestive_qtl,1.0,qtl,cm,0.99
qtl,two,0.98,qtl,four,0.99,qtl,qtls,0.99,qtl,five,1.0,qtl,suggestive_qtl,0.99
qtl,bta,0.98,qtl,three,0.99,qtl,mapped,0.99,qtl,three,1.0,qtl,bta,0.99
traits,qtl_affecting,1.0,traits,many,1.0,traits,affected,1.0,traits,many,1.0,traits,many,1.0
traits,carcass,1.0,traits,quantitative_trait_loci_qtl,1.0,traits,included,1.0,traits,reported,1.0,traits,reported,1.0
traits,many,1.0,traits,genomic_regions,1.0,traits,multiple,1.0,traits,response,1.0,traits,previously,1.0
traits,specific,1.0,traits,including,1.0,traits,genomic_regions,1.0,traits,affecting,1.0,traits,conclusion,1.0
traits,milk_production,1.0,traits,genome,1.0,traits,present_study,1.0,traits,ph,1.0,traits,genomic_regions,1.0
traits,fatness,1.0,traits,pathways,1.0,traits,many,1.0,traits,affected,1.0,traits,affecting,1.0
traits,related,1.0,traits,new,1.0,traits,similar,1.0,traits,previously,1.0,traits,quantitative_trait_loci_qtl,1.0
traits,major,1.0,traits,across,1.0,traits,quantitative_trait_loci_qtl,1.0,traits,genomic_regions,1.0,traits,affected,1.0
traits,reported,1.0,traits,specific,1.0,traits,genome,1.0,traits,milk_production,1.0,traits,included,1.0
traits,affect,1.0,traits,included,1.0,traits,relevant,1.0,traits,correlated,1.0,traits,quantitative_trait_loci,1.0
traits,growth_carcass,1.0,traits,candidate,1.0,traits,significant_effects,1.0,traits,parameters,1.0,traits,mutations,1.0
traits,previously,1.0,traits,meat_quality_traits,1.0,traits,qtl_affecting,1.0,traits,quantitative_trait_loci_qtl,1.0,traits,specific,1.0
traits,evidence,1.0,traits,correlated,1.0,traits,parameters,1.0,traits,conclusion,1.0,traits,parameters,1.0
traits,known,1.0,traits,milk_production_traits,1.0,traits,area,1.0,traits,significant_effects,1.0,traits,milk_production,1.0
traits,fertility,1.0,traits,mutations,1.0,traits,specific,1.0,traits,somatic_cell_score,1.0,traits,response,1.0
traits,body_composition,1.0,traits,presence,1.0,traits,distinct,1.0,traits,whole_genome,1.0,traits,pairs,1.0
traits,candidate,1.0,traits,reported,1.0,traits,quantitative_trait_locus,1.0,traits,specific,1.0,traits,correlated,1.0
traits,ph,1.0,traits,affecting,1.0,traits,putative_qtl,1.0,traits,trait,1.0,traits,significant_effects,1.0
traits,meat_quality,1.0,traits,controlling,1.0,traits,approaches,1.0,traits,well,1.0,traits,bone,1.0
traits,relevant,1.0,traits,multiple,1.0,traits,ratio,1.0,traits,quantitative_trait_loci,1.0,traits,trait,1.0
snps,snp,1.0,snps,snp,1.0,snps,found,1.0,snps,found,1.0,snps,found,1.0
snps,found,1.0,snps,three,1.0,snps,three,1.0,snps,significantly_associated,1.0,snps,identified,1.0
snps,four,1.0,snps,five,1.0,snps,identified,1.0,snps,four,1.0,snps,significantly_associated,1.0
snps,level,0.99,snps,one,1.0,snps,significantly_associated,1.0,snps,two,1.0,snps,four,1.0
snps,five,0.99,snps,four,1.0,snps,five,1.0,snps,snp,1.0,snps,snp,1.0
snps,three,0.99,snps,significantly_associated,1.0,snps,four,1.0,snps,respectively,1.0,snps,three,1.0
snps,suggestive,0.99,snps,found,1.0,snps,respectively,1.0,snps,identified,1.0,snps,two,1.0
snps,two,0.99,snps,respectively,1.0,snps,snp,1.0,snps,suggestive,1.0,snps,suggestive,1.0
snps,detected,0.99,snps,suggestive,1.0,snps,suggestive,1.0,snps,three,1.0,snps,five,1.0
snps,respectively,0.99,snps,two,1.0,snps,associated,1.0,snps,five,1.0,snps,regions,1.0
snps,one,0.99,snps,revealed,1.0,snps,detected,1.0,snps,regions,1.0,snps,respectively,1.0
snps,total,0.99,snps,seven,1.0,snps,one,1.0,snps,one,1.0,snps,one,1.0
snps,significantly_associated,0.99,snps,markers,1.0,snps,six,1.0,snps,detected,1.0,snps,total,1.0
snps,revealed,0.99,snps,suggestive_qtl,1.0,snps,significant,1.0,snps,associated,1.0,snps,six,1.0
snps,located,0.99,snps,additional,1.0,snps,chromosomes,1.0,snps,six,1.0,snps,detected,1.0
snps,seven,0.99,snps,total,1.0,snps,located,1.0,snps,total,1.0,snps,seven,1.0
snps,associations,0.99,snps,associated,1.0,snps,two,1.0,snps,seven,1.0,snps,revealed,1.0
snps,threshold,0.99,snps,bta,1.0,snps,revealed,1.0,snps,revealed,1.0,snps,associated,1.0
snps,identified,0.99,snps,nine,1.0,snps,chromosome,1.0,snps,located,1.0,snps,markers,1.0
snps,six,0.99,snps,six,1.0,snps,regions,0.99,snps,level,1.0,snps,level,1.0
gene,bovine,1.0,snp,significantly_associated,1.0,gene,polymorphisms,1.0,gene,polymorphisms,1.0,gene,polymorphisms,1.0
gene,intron,1.0,snp,snps,1.0,gene,exon,1.0,gene,bovine,1.0,gene,bovine,1.0
gene,positional_candidate,1.0,snp,markers,1.0,gene,variants,1.0,gene,polymorphism,1.0,gene,polymorphism,1.0
gene,porcine,1.0,snp,five,1.0,gene,bovine,1.0,gene,sequence,1.0,gene,sequence,1.0
gene,exon,1.0,snp,found,1.0,gene,intron,1.0,gene,intron,1.0,gene,intron,1.0
gene,polymorphisms,1.0,snp,three,1.0,gene,single_nucleotide_polymorphisms_snps,1.0,gene,bp,1.0,gene,bp,1.0
gene,polymorphism,1.0,snp,respectively,1.0,gene,bp,1.0,gene,protein,1.0,gene,c,1.0
gene,sequence,1.0,snp,revealed,1.0,gene,g,1.0,gene,porcine,1.0,gene,exon,1.0
gene,promoter_region,1.0,snp,one,1.0,gene,polymorphism,1.0,gene,exon,1.0,gene,candidate_genes,1.0
gene,lepr,1.0,snp,suggestive,1.0,gene,mutations,1.0,gene,c,1.0,gene,polymorphisms_snps,1.0
gene,bp,1.0,snp,associations,1.0,gene,association,1.0,gene,mutation,1.0,gene,porcine,1.0
gene,g,0.99,snp,associated,1.0,gene,mutation,1.0,gene,association,1.0,gene,association,1.0
gene,upstream,0.99,snp,effect,1.0,gene,tested,1.0,gene,located_within,1.0,gene,showed,1.0
gene,coding,0.99,snp,two,1.0,gene,c,1.0,gene,present,1.0,gene,present,1.0
gene,candidate_genes,0.99,snp,four,1.0,gene,porcine,1.0,gene,receptor,1.0,gene,mutation,1.0
gene,variants,0.99,snp,suggestive_qtl,1.0,gene,candidate_gene,1.0,gene,polymorphisms_snps,1.0,gene,variants,1.0
gene,exons,0.99,snp,showed,1.0,gene,among,1.0,gene,mutations,1.0,gene,known,1.0
gene,coding_region,0.99,snp,bta,1.0,gene,coding,1.0,gene,involved,1.0,gene,fasn,1.0
gene,novel,0.99,snp,level,1.0,gene,functional,1.0,gene,coding,1.0,gene,g,1.0
gene,cluster,0.99,snp,threshold,1.0,gene,locus,1.0,gene,known,1.0,gene,meat_quality_traits,1.0
snp,significantly_associated,1.0,associated,revealed,1.0,associated,significantly_associated,1.0,associated,significantly_associated,1.0,associated,revealed,1.0
snp,total,1.0,associated,also,1.0,associated,respectively,1.0,associated,located,1.0,associated,significantly_associated,1.0
snp,associations,1.0,associated,respectively,1.0,associated,five,1.0,associated,revealed,1.0,associated,located,1.0
snp,snps,1.0,associated,mb,1.0,associated,revealed,1.0,associated,found,1.0,associated,respectively,1.0
snp,five,1.0,associated,associations,1.0,associated,level,1.0,associated,within,1.0,associated,mb,1.0
snp,three,0.99,associated,located,1.0,associated,located,1.0,associated,mb,1.0,associated,within,1.0
snp,revealed,0.99,associated,bta,1.0,associated,within,1.0,associated,respectively,1.0,associated,also,1.0
snp,two,0.99,associated,within,1.0,associated,four,1.0,associated,also,1.0,associated,nine,1.0
snp,four,0.99,associated,mapped,1.0,associated,seven,1.0,associated,level,1.0,associated,seven,1.0
snp,threshold,0.99,associated,significant_snps,1.0,associated,three,1.0,associated,two,1.0,associated,level,1.0
snp,respectively,0.99,associated,five,1.0,associated,mb,1.0,associated,five,1.0,associated,five,1.0
snp,association,0.99,associated,showed,1.0,associated,six,1.0,associated,novel,1.0,associated,associations,1.0
snp,six,0.99,associated,suggestive_qtl,1.0,associated,suggestive,1.0,associated,associations,1.0,associated,significant_associations,1.0
snp,seven,0.99,associated,effects,1.0,associated,novel,1.0,associated,three,1.0,associated,additional,1.0
snp,markers,0.99,associated,previously_reported,1.0,associated,found,1.0,associated,seven,1.0,associated,six,1.0
snp,within,0.99,associated,level,1.0,associated,additional,1.0,associated,six,1.0,associated,significant_snps,1.0
snp,nine,0.99,associated,confirmed,1.0,associated,region,1.0,associated,four,1.0,associated,two,1.0
snp,showed_significant,0.99,associated,seven,1.0,associated,bta,1.0,associated,additional,1.0,associated,novel,1.0
snp,one,0.99,associated,six,1.0,associated,associations,1.0,associated,nine,1.0,associated,intron,1.0
snp,haplotypes,0.99,associated,two,1.0,associated,two,1.0,associated,significant_associations,1.0,associated,previously_reported,1.0
associated,candidate_genes,1.0,gene,polymorphisms,1.0,snp,significantly_associated,1.0,identified,regions,1.0,identified,regions,1.0
associated,mb,1.0,gene,exon,1.0,snp,respectively,1.0,identified,detected,1.0,identified,found,1.0
associated,within,1.0,gene,variants,1.0,snp,associations,1.0,identified,one,1.0,identified,one,1.0
associated,novel,1.0,gene,bp,1.0,snp,three,1.0,identified,two,1.0,identified,detected,1.0
associated,seven,1.0,gene,bovine,1.0,snp,revealed,1.0,identified,found,1.0,identified,two,1.0
associated,nine,1.0,gene,locus,1.0,snp,significant_associations,1.0,identified,significant,1.0,identified,four,1.0
associated,revealed,1.0,gene,polymorphism,1.0,snp,additional,1.0,identified,chromosome,1.0,identified,suggestive,1.0
associated,six,1.0,gene,g,1.0,snp,associated,1.0,identified,located,1.0,identified,located,1.0
associated,bta,1.0,gene,intron,1.0,snp,level,1.0,identified,four,1.0,identified,three,1.0
associated,five,1.0,gene,previously_reported,1.0,snp,showed,1.0,identified,chromosomes,1.0,identified,chromosome,1.0
associated,also,1.0,gene,receptor,1.0,snp,seven,1.0,identified,snps,1.0,identified,five,1.0
associated,snps_located,1.0,gene,suggested,1.0,snp,markers,1.0,identified,suggestive,1.0,identified,snps,1.0
associated,previously_reported,1.0,gene,evidence,1.0,snp,six,1.0,identified,three,1.0,identified,respectively,1.0
associated,highly_significant,1.0,gene,mutations,1.0,snp,five,1.0,identified,five,1.0,identified,region,1.0
associated,four,1.0,gene,c,1.0,snp,haplotypes,1.0,identified,qtls,1.0,identified,qtls,1.0
associated,additional,1.0,gene,variant,1.0,snp,suggestive,1.0,identified,qtl,1.0,identified,associated,1.0
associated,significantly_associated,1.0,gene,coding,1.0,snp,also,1.0,identified,region,1.0,identified,level,1.0
associated,significance,1.0,gene,among,1.0,snp,mb,1.0,identified,associated,1.0,identified,significantly_associated,1.0
associated,close,1.0,gene,associations,1.0,snp,four,1.0,identified,respectively,1.0,identified,seven,1.0
associated,threshold,1.0,gene,reported,1.0,snp,nine,1.0,identified,level,1.0,identified,chromosomes,1.0
significant,chromosomes,1.0,identified,detected,1.0,identified,detected,1.0,snp,significantly_associated,1.0,snp,significantly_associated,1.0
significant,suggestive,0.99,identified,chromosomes,1.0,identified,regions,1.0,snp,respectively,1.0,snp,respectively,1.0
significant,qtl,0.99,identified,chromosome,1.0,identified,found,1.0,snp,associations,1.0,snp,revealed,1.0
significant,detected,0.99,identified,regions,1.0,identified,chromosomes,1.0,snp,found,1.0,snp,associations,1.0
significant,identified,0.99,identified,found,1.0,identified,significant,1.0,snp,revealed,1.0,snp,additional,1.0
significant,chromosome,0.99,identified,one,1.0,identified,chromosome,1.0,snp,additional,1.0,snp,five,1.0
significant,found,0.99,identified,qtl,1.0,identified,one,1.0,snp,level,1.0,snp,six,1.0
significant,located,0.99,identified,located,1.0,identified,located,1.0,snp,five,1.0,snp,seven,1.0
significant,level,0.99,identified,qtls,1.0,identified,snps,1.0,snp,highly_significant,1.0,snp,also,1.0
significant,snps,0.98,identified,suggestive,1.0,identified,four,1.0,snp,suggestive,1.0,snp,nine,1.0
significant,regions,0.98,identified,significant,1.0,identified,three,1.0,snp,six,1.0,snp,significant_snps,1.0
significant,one,0.98,identified,five,1.0,identified,five,1.0,snp,also,1.0,snp,markers,1.0
significant,four,0.98,identified,mapped,1.0,identified,suggestive,1.0,snp,two,1.0,snp,associated,1.0
significant,respectively,0.98,identified,four,1.0,identified,associated,1.0,snp,snps,1.0,snp,mb,1.0
significant,p,0.97,identified,three,1.0,identified,qtl,1.0,snp,significant_associations,1.0,snp,rfi,1.0
significant,qtls,0.97,identified,snps,1.0,identified,respectively,1.0,snp,markers,1.0,snp,two,1.0
significant,region,0.97,identified,respectively,1.0,identified,region,1.0,snp,nine,1.0,snp,highly_significant,1.0
significant,cm,0.97,identified,region,1.0,identified,two,1.0,snp,four,1.0,snp,three,1.0
significant,snp,0.97,identified,level,1.0,identified,six,1.0,snp,significance,1.0,snp,level,1.0
significant,two,0.97,identified,two,1.0,identified,significantly_associated,1.0,snp,showed,1.0,snp,four,1.0
genes,candidate_genes,1.0,genes,candidate_genes,1.0,genes,candidate_genes,1.0,genes,candidate_genes,1.0,genes,candidate_genes,1.0
genes,several,1.0,genes,several,1.0,genes,several,1.0,genes,several,1.0,genes,several,1.0
genes,positional_candidate,1.0,genes,known,1.0,genes,known,1.0,genes,known,1.0,genes,known,1.0
genes,novel,1.0,genes,involved,1.0,genes,novel,1.0,genes,qtl_regions,1.0,genes,qtl_regions,1.0
genes,previously_reported,1.0,genes,reported,1.0,genes,previously_reported,1.0,genes,novel,1.0,genes,many,1.0
genes,genomic_regions,1.0,genes,variants,1.0,genes,significant_snps,1.0,genes,many,1.0,genes,reported,1.0
genes,reported,1.0,genes,many,1.0,genes,reported,1.0,genes,reported,1.0,genes,novel,1.0
genes,candidate,1.0,genes,genomic_regions,1.0,genes,variants,1.0,genes,within,1.0,genes,genomic_regions,1.0
genes,close,1.0,genes,novel,1.0,genes,within,1.0,genes,genomic_regions,1.0,genes,variants,1.0
genes,associated,0.99,genes,mutations,1.0,genes,close,1.0,genes,located_within,1.0,genes,located_within,1.0
genes,many,0.99,genes,contained,1.0,genes,gene,1.0,genes,mutations,1.0,genes,specific,1.0
genes,snps_located,0.99,genes,related,1.0,genes,addition,1.0,genes,variants,1.0,genes,interest,1.0
genes,previously_identified,0.99,genes,major,1.0,genes,snps_located,1.0,genes,specific,1.0,genes,within,1.0
genes,putative,0.99,genes,previously_reported,1.0,genes,also,1.0,genes,interest,1.0,genes,mutations,1.0
genes,potential_candidate,0.99,genes,identification,1.0,genes,genomic_regions,1.0,genes,previously_reported,1.0,genes,common,1.0
genes,near,0.99,genes,gene,1.0,genes,mutations,1.0,genes,significant_snps,1.0,genes,among,1.0
genes,mb,0.99,genes,new,1.0,genes,among,1.0,genes,mb,1.0,genes,intron,1.0
genes,specific,0.99,genes,close,1.0,genes,functional,1.0,genes,intron,1.0,genes,around,1.0
genes,known,0.99,genes,specific,1.0,genes,many,1.0,genes,loci,1.0,genes,bovine,1.0
genes,chromosomal_regions,0.99,genes,within,1.0,genes,effects,1.0,genes,among,1.0,genes,candidate,1.0
identified,detected,1.0,significant,chromosomes,1.0,two,six,1.0,two,three,1.0,two,three,1.0
identified,located,1.0,significant,detected,1.0,two,five,1.0,two,four,1.0,two,four,1.0
identified,chromosomes,1.0,significant,qtl,1.0,two,seven,1.0,two,five,1.0,two,five,1.0
identified,found,1.0,significant,identified,1.0,two,four,1.0,two,seven,1.0,two,six,1.0
identified,suggestive,1.0,significant,chromosome,1.0,two,nine,1.0,two,six,1.0,two,seven,1.0
identified,regions,1.0,significant,found,1.0,two,qtls,1.0,two,located,1.0,two,qtls,1.0
identified,chromosome,0.99,significant,suggestive,1.0,two,novel,1.0,two,qtls,1.0,two,revealed,1.0
identified,qtl,0.99,significant,qtls,0.99,two,additional,1.0,two,novel,1.0,two,nine,1.0
identified,level,0.99,significant,regions,0.99,two,within,1.0,two,revealed,1.0,two,located,1.0
identified,one,0.99,significant,one,0.99,two,significant_level,1.0,two,nine,1.0,two,suggestive_qtl,1.0
identified,significant,0.99,significant,level,0.99,two,three,1.0,two,mb,1.0,two,additional,1.0
identified,region,0.99,significant,respectively,0.99,two,revealed,1.0,two,level,1.0,two,mb,1.0
identified,four,0.99,significant,located,0.99,two,significant_snps,1.0,two,additional,1.0,two,novel,1.0
identified,snps,0.99,significant,snps,0.99,two,mb,1.0,two,detected,1.0,two,level,1.0
identified,qtls,0.99,significant,significantly_associated,0.99,two,mapped,1.0,two,found,1.0,two,identified,1.0
identified,respectively,0.99,significant,five,0.99,two,bta,1.0,two,suggestive_qtl,1.0,two,respectively,1.0
identified,two,0.99,significant,snp,0.99,two,previously_reported,1.0,two,mapped,1.0,two,mapped,1.0
identified,five,0.99,significant,suggestive_qtl,0.99,two,suggestive_qtl,1.0,two,markers,1.0,two,within,1.0
identified,three,0.99,significant,three,0.99,two,confirmed,1.0,two,associated,1.0,two,one,1.0
identified,associated,0.98,significant,four,0.99,two,level,1.0,two,one,1.0,two,markers,1.0
two,three,1.0,two,seven,1.0,significant,chromosomes,1.0,significant,chromosomes,1.0,significant,chromosomes,1.0
two,five,1.0,two,three,1.0,significant,detected,1.0,significant,detected,1.0,significant,qtl,1.0
two,revealed,1.0,two,four,1.0,significant,identified,1.0,significant,chromosome,1.0,significant,detected,1.0
two,four,1.0,two,revealed,1.0,significant,chromosome,1.0,significant,identified,1.0,significant,chromosome,1.0
two,six,1.0,two,additional,1.0,significant,regions,1.0,significant,qtl,1.0,significant,suggestive,1.0
two,seven,1.0,two,five,1.0,significant,found,1.0,significant,suggestive,1.0,significant,identified,1.0
two,nine,1.0,two,confirmed,1.0,significant,qtl,1.0,significant,one,1.0,significant,found,1.0
two,within,1.0,two,six,1.0,significant,snps,1.0,significant,found,1.0,significant,one,1.0
two,threshold,1.0,two,nine,1.0,significant,one,1.0,significant,regions,1.0,significant,regions,1.0
two,bta,1.0,two,mapped,1.0,significant,suggestive,1.0,significant,four,1.0,significant,snps,0.99
two,mb,1.0,two,previously_reported,1.0,significant,located,0.99,significant,respectively,1.0,significant,four,0.99
two,one,1.0,two,within,1.0,significant,three,0.99,significant,two,1.0,significant,respectively,0.99
two,additional,1.0,two,snps_located,1.0,significant,respectively,0.99,significant,snps,1.0,significant,region,0.99
two,novel,1.0,two,mb,1.0,significant,four,0.99,significant,located,1.0,significant,two,0.99
two,respectively,1.0,two,novel,1.0,significant,five,0.99,significant,qtls,1.0,significant,located,0.99
two,confirmed,1.0,two,markers,1.0,significant,associated,0.99,significant,level,1.0,significant,level,0.99
two,markers,1.0,two,significant_snps,1.0,significant,significantly_associated,0.99,significant,five,1.0,significant,cm,0.99
two,total,1.0,two,eight,1.0,significant,region,0.99,significant,three,1.0,significant,qtls,0.99
two,significance,1.0,two,bta,1.0,significant,level,0.99,significant,significantly_associated,1.0,significant,p,0.99
two,qtls,1.0,two,loci,1.0,significant,bta,0.99,significant,mapped,1.0,significant,five,0.99
